Name,NumberOfVotes,VotesAgainst,DIISum,DIIAvg
Schock,125,10,822.625,6.581
Young (IA),577,34,2389.375,4.141031195840554
Smith (NE),574,29,1871.5,3.260452961672474
Scalise,569,15,1054.5,1.8532513181019332
Love,572,42,3016.5833333333326,5.273747086247085
LaHood,83,4,259.29166666666663,3.1239959839357425
Loudermilk,572,54,3392.9583333333335,5.931745337995339
Stivers,559,42,3337.4166666666665,5.970333929636255
Tipton,568,51,3733.25,6.57262323943662
Schweikert,576,52,3578.416666666667,6.212528935185186
Trott,573,22,1577.125,2.7523996509598603
Young (AK),521,59,4759.666666666666,9.135636596289187
Zeldin,576,52,4189.833333333333,7.274016203703703
Stutzman,566,39,2420.5,4.2765017667844525
"Scott, Austin",559,27,1718.7083333333333,3.074612403100775
Bilirakis,571,25,1630.0833333333335,2.854786923525978
Boustany,577,36,2579.2916666666665,4.4701761987290585
Culberson,524,27,1891.0416666666667,3.608858142493639
Bishop (UT),547,34,2476.916666666667,4.528184034125534
Jenkins (KS),577,46,3437.2083333333317,5.957033506643556
Forbes,562,29,2115.333333333333,3.7639383155397383
Valadao,573,47,3847.0416666666665,6.713859802210587
Crenshaw,574,25,1874.375,3.2654616724738674
Long,524,22,1426.3333333333335,2.7220101781170487
Palazzo,570,49,3524.0833333333326,6.182602339181285
Hultgren,568,33,2139.9583333333335,3.7675322769953055
Huizenga (MI),572,42,3100.4583333333326,5.4203817016317
Hartzler,573,39,2863.7083333333326,4.997745782431645
Harris,570,45,2828.916666666666,4.963011695906432
Hanna,558,94,7894.833333333332,14.148446833930702
Labrador,560,73,4789.708333333332,8.553050595238092
Huelskamp,568,76,4598.833333333332,8.096537558685444
Herrera Beutler,540,64,4839.833333333334,8.962654320987655
Heck (NV),557,65,5076.875000000001,9.114676840215441
Rice (SC),573,65,4522.291666666669,7.8923065735893
King (IA),567,38,2495.1249999999995,4.400573192239858
Ross,576,37,2540.875,4.411241319444445
Rokita,565,37,2505.5833333333326,4.434660766961651
Roby,577,25,1745.5833333333333,3.02527440785673
Pompeo,568,26,1689.7500000000002,2.9749119718309864
Perry,570,69,4608.333333333334,8.084795321637428
Pittenger,564,25,1895.9166666666665,3.3615543735224582
Palmer,576,44,2760.9999999999995,4.793402777777777
"Walters, Mimi",572,20,1400.5,2.4484265734265733
Westerman,575,29,1987.0,3.4556521739130437
Thornberry,575,19,1364.2083333333333,2.372536231884058
Donovan,342,41,3362.083333333333,9.830653021442494
McHenry,573,12,773.7499999999999,1.3503490401396159
Rouzer,575,35,2518.249999999999,4.379565217391303
Shimkus,572,25,1841.8333333333335,3.2199883449883453
Ratcliffe,577,51,3360.6249999999995,5.8243067590987865
Sanford,559,95,6301.749999999998,11.273255813953485
Russell,571,34,2319.708333333334,4.062536485697607
Carter (TX),506,23,1552.4583333333335,3.068099472990778
Cole,572,33,2561.1666666666665,4.477564102564102
Burgess,575,62,4201.208333333333,7.3064492753623185
DeSantis,572,52,3693.458333333333,6.457094988344988
Jordan,568,70,4630.875,8.152948943661972
Hunter,570,44,3223.4583333333326,5.655190058479531
Ros-Lehtinen,576,78,6503.375,11.290581597222221
Rothfus,575,27,1914.875,3.330217391304348
Duffy,566,53,3626.1666666666665,6.406654888103651
Lummis,556,60,3809.6249999999995,6.851843525179856
Goodlatte,575,30,1921.0833333333337,3.341014492753624
Harper,575,31,2231.0,3.88
Gowdy,536,34,2259.2083333333335,4.214940920398011
Gosar,538,61,3861.5,7.1775092936802976
Gibson,569,144,12069.833333333332,21.21236086701816
Gibbs,571,30,2213.041666666666,3.8757297139521296
Graves (GA),562,54,3685.3749999999995,6.557606761565835
Calvert,574,27,1994.625,3.4749564459930316
Denham,572,60,4918.333333333334,8.59848484848485
Griffith,569,73,5292.041666666669,9.30060046865847
Roskam,528,25,1725.8749999999995,3.2687026515151505
Roe (TN),470,20,1400.958333333333,2.9807624113475173
Rooney (FL),566,46,3340.5,5.901943462897527
Duncan (TN),564,75,5092.833333333333,9.0298463356974
Reed,572,56,4531.625,7.922421328671328
Renacci,574,51,3745.166666666667,6.524680603948897
Ribble,557,62,4093.0416666666665,7.348369239976062
McSally,577,55,4570.499999999999,7.921143847487
Rigell,577,51,4005.9583333333335,6.942735413056037
Mooney (WV),572,61,4226.791666666667,7.389495920745921
Moolenaar,565,28,1982.3333333333335,3.508554572271387
MacArthur,577,65,5354.166666666668,9.279318313113809
Mullin,575,26,1863.4583333333333,3.2407971014492754
Benishek,576,60,4646.541666666667,8.06691261574074
Joyce,570,58,4682.124999999999,8.21425438596491
Black,564,24,1625.4166666666667,2.8819444444444446
Jenkins (WV),560,51,4085.7083333333335,7.295907738095238
Bucshon,573,38,2945.666666666666,5.140779522978475
Brooks (AL),575,74,4978.166666666665,8.657681159420287
Johnson (OH),576,38,2914.499999999999,5.059895833333332
Costello (PA),571,67,5663.25,9.918126094570928
Curbelo (FL),561,84,7166.166666666668,12.773915626856805
LaMalfa,569,23,1326.0416666666665,2.330477445811365
Clawson (FL),515,61,4296.916666666667,8.343527508090615
Carter (GA),574,46,3232.791666666666,5.632041231126596
Graves (MO),522,45,3566.375,6.832136015325671
Barton,551,37,2639.875,4.791061705989111
Rohrabacher,551,66,4619.083333333333,8.38309134906231
Blackburn,562,26,1646.2083333333333,2.9291963226571767
Zinke,566,43,3206.416666666666,5.66504711425206
Franks (AZ),565,40,2573.2083333333335,4.554351032448378
Dent,577,58,4831.541666666667,8.373555748122474
Grothman,573,44,2763.291666666666,4.822498545666084
