Name,NumberOfVotes,VotesAgainst,DIISum,DIIAvg
Schock,18,0,0,0
Young (IA),78,1,55.541666666666664,0.7120726495726496
Smith (NE),78,2,98.25,1.2596153846153846
Scalise,77,0,0,0
Love,78,2,98.25,1.2596153846153846
LaHood,15,1,56.916666666666664,3.7944444444444443
Loudermilk,78,6,329.5833333333333,4.22542735042735
Stivers,77,1,56.916666666666664,0.7391774891774892
Tipton,75,2,100.08333333333333,1.3344444444444443
Schweikert,78,5,238.75,3.0608974358974357
Trott,77,1,56.916666666666664,0.7391774891774892
Young (AK),71,2,119.79166666666666,1.687206572769953
Zeldin,78,3,231.25,2.96474358974359
Stutzman,78,4,258.375,3.3125
"Scott, Austin",75,2,112.91666666666666,1.5055555555555555
Bilirakis,78,1,55.541666666666664,0.7120726495726496
Boustany,78,2,99.625,1.2772435897435896
Culberson,76,2,98.25,1.292763157894737
Bishop (UT),73,0,0,0
Jenkins (KS),78,2,155.54166666666666,1.9941239316239314
Forbes,76,2,136.29166666666666,1.7933114035087718
Valadao,78,2,149.125,1.9118589743589745
Crenshaw,78,1,56.916666666666664,0.7297008547008547
Long,72,1,56.916666666666664,0.7905092592592592
Palazzo,78,4,212.54166666666663,2.724893162393162
Hultgren,78,3,133.16666666666666,1.7072649572649572
Huizenga (MI),78,2,155.54166666666666,1.9941239316239314
Hartzler,78,4,212.54166666666663,2.724893162393162
Harris,78,4,247.83333333333331,3.177350427350427
Hanna,77,11,939.5833333333333,12.20238095238095
Labrador,75,11,649.9166666666666,8.665555555555555
Huelskamp,78,12,799.8750000000001,10.254807692307693
Herrera Beutler,75,3,157.91666666666666,2.1055555555555556
Heck (NV),76,3,203.29166666666666,2.674890350877193
Rice (SC),77,7,410.79166666666663,5.3349567099567095
King (IA),77,5,305.2083333333333,3.9637445887445883
Ross,78,0,0,0
Rokita,77,2,98.25,1.275974025974026
Roby,78,1,56.916666666666664,0.7297008547008547
Pompeo,78,2,112.91666666666666,1.4476495726495726
Perry,76,7,409.87499999999994,5.3930921052631575
Pittenger,76,0,0,0
Palmer,78,4,176.33333333333331,2.2606837606837606
"Walters, Mimi",78,1,56.916666666666664,0.7297008547008547
Westerman,78,1,42.70833333333333,0.547542735042735
Thornberry,78,1,56.916666666666664,0.7297008547008547
Donovan,42,4,338.5833333333333,8.061507936507937
McHenry,77,1,55.541666666666664,0.7213203463203463
Rouzer,78,0,0,0
Shimkus,77,1,56.916666666666664,0.7391774891774892
Ratcliffe,78,6,369.45833333333326,4.736645299145298
Sanford,76,17,1094.5416666666667,14.401864035087721
Russell,76,2,146.83333333333331,1.932017543859649
Carter (TX),67,2,98.25,1.4664179104477613
Cole,77,1,56.916666666666664,0.7391774891774892
Burgess,78,2,101.0,1.294871794871795
DeSantis,77,5,327.66666666666663,4.255411255411255
Jordan,77,11,623.3333333333334,8.095238095238095
Hunter,78,3,206.04166666666666,2.641559829059829
Ros-Lehtinen,78,2,149.125,1.9118589743589745
Rothfus,78,3,213.375,2.735576923076923
Duffy,76,5,272.2083333333333,3.5816885964912277
Lummis,76,9,520.0416666666666,6.842653508771929
