Name,IA Diff,NH Diff,Party,IA Result
Santorum-2012,7.60,8.00,Republican,24.6
Romney-2012,2.50,-0.33,Republican,24.5
Paul-2012,0.07,1.33,Republican,21.4
Gingrich-2012,-0.70,-4.67,Republican,13.3
Perry-2012,-0.03,-1.67,Republican,10.3
Bachmann-2012,-2.00,-4.57,Republican,5
Hunstman-2012,-2.07,-3.00,Republican,0.6
Obama-2008,7.50,9.00,Democratic,37.5
Clinton-2008,-0.60,-4.00,Democratic,29.4
Edwards-2008,2.70,0.00,Democratic,29.7
Richardson-2008,-2.23,-1.00,Democratic,2.1
McCain-2008,-11.33,-1.33,Republican,13
Romney-2008,14.53,1.67,Republican,25.2
Huckabee-2008,-0.30,0.67,Republican,29.7
Giuliani-2008,-2.93,1.00,Republican,3.4
Paul-2008,2.23,0.33,Republican,9.9
Thompson-2008,1.73,-0.33,Republican,13.4
Kerry-2004,14.03,12.00,Democratic,37.7
Dean-2004,-2.90,-10.33,Democratic,18.1
Edwards-2004,11.57,7.33,Democratic,31.9
Clark-2004,-1.00,0.33,Democratic,0
Lieberman-2004,-1.00,0.00,Democratic,0
